Titles
 1. CODA (2021) 
 2. I Was a Simple Man (2021) 
 3. Jockey (2021) 
 4. John and the Hole (2021) 
 5. Mayday (2021) 
 6. On the Count of Three (2021) 
 7. Passing (2021) 
 8. Superior (2021) 
 9. Together Together (2021) 
 10. Wild Indian (2021) 
 11. Ailey (2021) 
 12. All Light, Everywhere (2021) 
 13. At the Ready (2021) 
 14. Cusp (2021) 
 15. Homeroom (2021) 
 16. Rebel Hearts (2021) 
 17. Rita Moreno: Just a Girl Who Decided to Go for It (2021) 
 18. Summer of Soul (...Or, When the Revolution Could Not Be Televised) (2021) 
 19. Try Harder! (2021) 
 20. Users (2021) 
 21. El perro que no calla (2021) 
 22. El Planeta (2020) 
 23. Swizerland (2019) 
 24. Hive (2021) 
 25. Human Factors (2021) 
 26. Luzzu (2021) 
 27. One for the Road (I) (2021) 
 28. A Nuvem Rosa (2021) 
 29. Pleasure (2021) 
 30. Prime Time (2021) 
 31. Faya Dayi (2021) 
 32. Flee (2021) 
 33. Misha and the Wolves (2021) 
 34. President (2021) 
 35. The Most Beautiful Boy in the World (2021) 
 36. Playing with Sharks: The Valerie Taylor Story (2021) 
 37. Sabaya (2021) 
 38. Taming the Garden (2021) 
 39. Writing with Fire (2021) 
 40. The Blazing World (2021) 
 41. Cryptozoo (2021) 
 42. First Date (II) (2021) 
 43. Ma Belle, My Beauty (2021) 
 44. R#J (2021) 
 45. Searchers (2021) 
 46. Son of Monarchs (2020) 
 47. Strawberry Mansion (2021) 
 48. We're All Going to the World's Fair (2021) 
 49. Amy Tan: Unintended Memoir (2021) 
 50. Bring Your Own Brigade (2021) 
 51. Eight for Silver (2021) 
 52. How It Ends (2021) 
 53. In the Same Breath (2021) 
 54. In the Earth (2021) 
 55. Judas and the Black Messiah (2021) 
 56. Land (2021) 
 57. Marvelous and the Black Hole (2021) 
 58. Mass (2021) 
 59. My Name Is Pauli Murray (2021) 
 60. Philly D.A. (2021– ) 
 61. Prisoners of the Ghostland (2021) 
 62. The Sparks Brothers (2021) 
 63. Street Gang: How We Got to Sesame Street (2021) 
 64. Censor (2021) 
 65. Coming Home in the Dark (2021) 
 66. A Glitch in the Matrix (2021) 
 67. Knackningar (2021) 
 68. Fils de plouc (2021) 
 69. Violation (2020) 
 70. La nuit des rois (2020) 
 71. The World to Come (2020) 
 72. Life in a Day 2020 (2021) 
 73. 4 Feet High (2020– ) 
 74. Het zaad van Karbaat (2018) 
 75. Would You Rather (2021– ) 
 76. These Days (2021– ) 
